id,externalId,ownerId,name,product,amount,closed,status,created_date,closed
1136,59,592,White - New Deal,Data Aggregation,581,True,Closed,2021-10-15 13:38:48,2021-11-04T00:44:28
1153,66,592,Johnson - New Deal,Data Aggregation,524,True,Closed,2021-08-24 00:01:41,2021-09-09T17:00:56
1160,98,464,Herrera - New Deal,Data Aggregation,406,False,Lost,2021-01-20 14:31:35,
1193,130,409,Cortez - New Deal,Data Aggregation,359,True,Closed,2021-10-09 14:18:59,2021-10-23T00:26:53
1209,214,409,Ballard - New Deal,Data Aggregation,323,False,Lost,2021-04-20 23:55:18,
1255,309,464,Medina - New Deal,Data Aggregation,396,False,Lost,2021-07-15 16:59:27,
1283,349,397,Davis - New Deal,Data Enrichment,437,False,Lost,2021-07-26 18:56:31,
1362,414,409,Abbott - New Deal,Payments,905,True,Closed,2021-07-27 07:47:51,2021-08-26T12:26:42
1436,504,409,Leon - New Deal,Data Aggregation,477,True,Closed,2021-12-05 23:23:05,2021-12-18T14:42:32
1487,601,409,Love - New Deal,Data Aggregation,573,False,Lost,2021-12-20 00:30:02,
1569,679,464,Harris - New Deal,Data Aggregation,459,False,Lost,2021-09-21 12:41:10,
1602,708,397,Horton - New Deal,Data Aggregation,383,True,Closed,2021-11-05 17:58:55,2021-11-09T17:14:25
1664,796,531,Fields - New Deal,Data Aggregation,530,False,Lost,2021-09-13 17:38:46,
1762,816,445,Mcdonald - New Deal,Data Aggregation,527,True,Closed,2021-07-16 16:49:35,2021-07-22T06:27:03
1791,872,592,Abbott - New Deal,Data Aggregation,594,False,Lost,2021-02-24 15:52:22,
1795,945,397,Watson - New Deal,Data Aggregation,506,False,Lost,2021-11-23 19:50:39,
1875,978,409,Anderson - New Deal,Data Enrichment,305,False,Lost,2021-09-30 20:11:35,
1890,1014,592,Barnes - New Deal,Data Aggregation,797,True,Closed,2021-09-17 01:53:43,2021-09-27T02:05:55
1928,1097,409,Cooley - New Deal,Data Aggregation,605,False,Lost,2021-12-05 05:22:18,
1952,1168,531,Bennett - New Deal,Payments,433,False,Lost,2021-05-22 05:42:17,
1993,1261,397,White - New Deal,Data Aggregation,301,False,Lost,2021-04-03 10:31:30,
2036,1308,464,Kaufman - New Deal,Data Aggregation,331,True,Closed,2021-07-29 13:50:12,2021-08-10T08:06:16
2042,1314,445,Dunlap - New Deal,Data Aggregation,306,True,Closed,2021-02-04 12:09:02,2021-02-19T23:10:28
2074,1406,592,Smith - New Deal,Payments,4096,False,Lost,2021-11-03 16:28:14,
2081,1496,592,Smith - New Deal,Data Aggregation,371,True,Closed,2021-07-30 18:51:20,2021-08-19T21:40:27
2091,1509,592,Johnson - New Deal,Data Aggregation,593,True,Closed,2021-01-10 02:19:58,2021-01-26T09:47:10
2166,1588,397,Schmidt - New Deal,Data Aggregation,800,True,Closed,2021-11-21 06:57:36,2021-12-07T14:10:52
2195,1604,409,Baker - New Deal,Data Aggregation,525,True,Closed,2021-06-13 06:36:43,2021-07-01T13:37:12
2263,1610,531,Mitchell - New Deal,Data Aggregation,390,False,Lost,2021-05-03 10:39:55,
2269,1639,445,Chapman - New Deal,Payments,457,False,Lost,2021-06-30 10:51:36,
2327,1677,464,Chambers - New Deal,Data Aggregation,398,True,Closed,2021-06-28 21:06:53,2021-07-05T12:59:35
2393,1711,445,Williams - New Deal,Data Aggregation,556,True,Closed,2021-12-09 02:46:02,2021-12-29T02:08:10
2439,1779,592,Mitchell - New Deal,Data Aggregation,356,False,Lost,2021-01-26 08:23:21,
2480,1860,445,Tucker - New Deal,Data Aggregation,563,False,Lost,2021-09-17 22:56:31,
2554,1905,409,Kelly - New Deal,Data Enrichment,433,False,Lost,2021-07-06 01:26:04,
2574,1923,592,Baker - New Deal,Payments,433,False,Lost,2021-11-18 19:37:50,
2651,1955,445,Rogers - New Deal,Data Aggregation,542,True,Closed,2021-12-14 18:05:17,2022-01-07T11:57:18
2690,1964,445,Herrera - New Deal,Data Aggregation,360,True,Closed,2021-07-19 09:00:39,2021-08-06T21:00:05
2724,2021,592,Jordan - New Deal,Data Aggregation,351,True,Closed,2021-05-23 05:07:28,2021-05-30T05:43:15
2776,2062,409,Wilson - New Deal,Data Aggregation,371,True,Closed,2021-06-02 17:16:45,2021-06-07T15:20:06
2781,2158,445,Martinez - New Deal,Data Aggregation,714,True,Closed,2021-11-28 19:20:28,2021-12-18T12:20:25
2843,2194,592,Meyer - New Deal,Data Aggregation,759,True,Closed,2021-01-19 06:50:39,2021-01-31T17:55:44
2916,2237,445,Hull - New Deal,Data Aggregation,514,False,Lost,2021-05-30 06:15:23,
2931,2298,592,Clark - New Deal,Data Aggregation,774,True,Closed,2021-07-02 02:41:36,2021-07-10T20:21:14
2975,2340,397,Cox - New Deal,Data Enrichment,359,True,Closed,2021-07-06 07:21:06,2021-08-21T17:39:37
3010,2353,464,Camacho - New Deal,Data Aggregation,533,False,Lost,2021-04-30 08:35:55,
3023,2438,445,Sanchez - New Deal,Data Aggregation,314,True,Closed,2021-02-01 00:18:48,2021-02-03T11:31:30
3092,2464,397,Anderson - New Deal,Data Aggregation,380,True,Closed,2021-04-21 05:49:09,2021-04-30T04:52:55
3173,2484,409,Peterson - New Deal,Data Aggregation,556,True,Closed,2021-06-16 06:09:34,2021-06-30T23:02:49
3247,2576,445,Nichols - New Deal,Data Aggregation,553,False,Lost,2021-09-25 06:11:19,
3271,2671,409,Jefferson - New Deal,Data Aggregation,620,True,Closed,2021-05-09 21:15:16,2021-05-25T02:43:28
3343,2676,409,Thomas - New Deal,Data Aggregation,503,True,Closed,2021-04-22 12:53:21,2021-05-14T05:16:31
3349,2768,531,Young - New Deal,Data Aggregation,360,True,Closed,2021-08-19 11:37:08,2021-09-08T18:08:08
3404,2850,464,Huff - New Deal,Data Aggregation,520,True,Closed,2021-03-09 02:14:31,2021-03-18T00:11:33
3495,2947,592,Valentine - New Deal,Data Aggregation,617,True,Closed,2021-12-11 07:15:20,2021-12-16T15:43:30
3577,3034,592,White - New Deal,Data Enrichment,361,False,Lost,2021-08-28 08:41:14,
3646,3085,397,Bartlett - New Deal,Data Enrichment,598,False,Lost,2021-04-16 05:32:49,
3688,3127,592,Allen - New Deal,Data Aggregation,643,False,Lost,2021-11-09 17:23:10,
3786,3207,592,Willis - New Deal,Payments,3106,False,Lost,2021-08-29 02:54:07,
3863,3233,397,Ballard - New Deal,Data Aggregation,365,False,Lost,2021-01-03 04:16:27,
3959,3243,397,Molina - New Deal,Data Aggregation,404,False,Lost,2021-04-23 15:43:25,
4007,3312,464,Nunez - New Deal,Data Aggregation,435,False,Lost,2021-01-22 05:34:46,
4022,3396,464,Harrison - New Deal,Data Enrichment,321,False,Lost,2021-10-27 03:17:47,
